Customer ID,Recency,Frequency,Monetary,Country
20001.0,37,5,1664.280864849929,United Kingdom
20002.0,480,2,72.871552024298,United Kingdom
20003.0,577,2,152.43226919548022,Spain
20004.0,7,2,262.5916610133735,United Kingdom
20005.0,8,2,543.6063712881632,Germany
20006.0,5,1,456.6223936114975,United Kingdom
20007.0,367,21,8925.54715637269,France
20008.0,44,4,440.6706027905523,United Kingdom
20009.0,7,43,57163.70648195956,United Kingdom
20010.0,7,26,61666.33539072865,United Kingdom
20011.0,309,14,6477.017434965216,United Kingdom
20012.0,215,17,12697.444554773003,United Kingdom
20013.0,383,2,327.35866845267236,United Kingdom
20014.0,435,18,6892.140252063287,United Kingdom
20015.0,118,3,835.4115990154165,United Kingdom
20016.0,9,24,69554.79374422575,United Kingdom
20017.0,386,2,112.17988987417019,United Kingdom
20018.0,421,2,378.8765904476321,United Kingdom
20019.0,8,23,23883.672186902313,United Kingdom
20020.0,262,12,6418.0859325296115,United Kingdom
20021.0,362,2,215.99123859467875,United Kingdom
20022.0,30,5,1489.1287224876269,United Kingdom
20023.0,367,13,5904.663258138005,United Kingdom
20024.0,8,1,221.07996913871295,United Kingdom
20025.0,574,2,393.8665621310919,EIRE
20026.0,389,23,13023.629947070856,United Kingdom
20027.0,6,2,120.38757077738197,United Kingdom
20028.0,88,6,426.54052628456986,United Kingdom
20029.0,3,31,53387.95928070874,United Kingdom
20030.0,377,1,376.59009583259177,United Kingdom
20031.0,12,36,20680.371555328526,United Kingdom
20032.0,3,1,429.99202301708954,United Kingdom
20033.0,89,3,786.9636654407227,EIRE
20034.0,289,12,13805.016685959965,United Kingdom
20035.0,38,3,958.7353193802575,United Kingdom
20036.0,3,31,71531.4818198838,Germany
20037.0,365,1,376.1849478617506,France
20038.0,353,2,244.85404993148822,France
20039.0,9,1,586.8319183776587,United Kingdom
20040.0,343,10,10823.535114031207,United Kingdom
20041.0,1,2,218.62454374840001,United Kingdom
20042.0,284,10,10891.354707604121,United Kingdom
20043.0,12,33,24890.17757612941,United Kingdom
20044.0,67,7,1178.7874447351282,United Kingdom
20045.0,176,9,7200.940892336108,Netherlands
20046.0,296,11,3291.791597177446,United Kingdom
20047.0,46,6,1904.733734964663,United Kingdom
20048.0,155,10,11972.625286768967,Australia
20049.0,598,1,234.52303772913126,Australia
20050.0,12,44,10650.969200459615,United Kingdom
20051.0,310,10,5033.91296023311,United Kingdom
20052.0,6,14,47754.58775670237,United Kingdom
20053.0,437,22,14880.64620125116,United Kingdom
20054.0,2,2,470.3843088771022,United Kingdom
20055.0,11,40,27238.260773584887,United Kingdom
20056.0,555,1,256.2600730203018,United Kingdom
20057.0,7,47,64872.138422508135,United Kingdom
20058.0,649,2,359.3019764724995,United Kingdom
20059.0,2,2,319.2370615090435,United Kingdom
20060.0,80,3,648.0665867643906,United Kingdom
20061.0,399,2,348.34970877531987,Australia
20062.0,71,5,603.2968202430156,United Kingdom
20063.0,302,2,109.85378017383198,United Kingdom
20064.0,4,2,125.84086058430384,United Kingdom
20065.0,296,1,265.84906355433645,United Kingdom
20066.0,518,2,221.03112887144226,Germany
20067.0,1,2,235.41612563103712,United Kingdom
20068.0,595,1,98.20345950260692,United Kingdom
20069.0,376,1,284.7449632831856,United Kingdom
20070.0,30,4,783.6597746518452,United Kingdom
20071.0,338,2,375.8071790156926,United Kingdom
20072.0,7,2,377.17702625570035,United Kingdom
20073.0,496,1,121.66046611542826,United Kingdom
20074.0,5,2,107.19674431487793,United Kingdom
20075.0,98,3,898.2612950260707,United Kingdom
20076.0,453,2,66.19863944087055,Australia
20077.0,288,2,94.08469186670561,United Kingdom
20078.0,172,17,14389.748779096632,United Kingdom
20079.0,81,4,1401.3758651427784,Spain
20080.0,506,2,273.71664369900964,United Kingdom
20081.0,529,2,267.6951329363368,United Kingdom
20082.0,61,5,1681.5188714918395,United Kingdom
20083.0,3,2,164.2501766169551,United Kingdom
20084.0,250,19,7633.231653609291,EIRE
20085.0,10,40,10202.09756563741,Australia
20086.0,635,1,64.94389547969351,United Kingdom
20087.0,239,15,7624.75945158678,United Kingdom
20088.0,14,45,24552.089617692734,United Kingdom
20089.0,263,20,14239.777822268486,United Kingdom
20090.0,118,7,1948.128882432396,United Kingdom
20091.0,102,5,1984.8082272010772,United Kingdom
20092.0,345,2,350.83314466759714,United Kingdom
20093.0,41,3,1487.7516478403934,United Kingdom
20094.0,59,3,1254.9239576489015,Germany
20095.0,366,20,13746.278741954406,United Kingdom
20096.0,645,1,364.99133127512755,United Kingdom
20097.0,533,2,280.4048646369922,United Kingdom
20098.0,10,27,38633.41414837398,United Kingdom
20099.0,54,6,1476.0295297232615,United Kingdom
20100.0,400,2,322.15871283398496,France
